,Project short name,Project title,Links
0ec2b05f-ddbe-4e5a-b30f-e81f4b1e330c,CD4+ cytotoxic T lymphocytes,Precursors of human CD4+ cytotoxic T lymphocytes identified by single-cell transcriptome analysis,['https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-106540/Results']
1a0f98b8-746a-489d-8af9-d5c657482aab,Healthy and type 2 diabetes pancreas,Single-cell RNA-seq analysis of human pancreas from healthy individuals and type 2 diabetes patients,['https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-5061/Results']
